2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
Canaccord Genuity Group Inc.,CF.TO,3.89,3.90,3.78,3.78,"135,379","410,341","260,075",N/A,N/A,3.10%,3.64%,N/A,"Dec 10, 2015","Nov 18, 2015",2.06,-43.46%,-0.94%,8.58,3.50,3.91,4.51,95050000.0,74290000.0,0.41%,98.00%,2830000.0,2.61,N/A,369740000.0,-586720000.0,N/A,19.45,-0.68,0.42,0.58,-0.73,N/A,Mar 31,"Dec 31, 2015",-44.90%,-0.90%,-10.82%,-37.76%,808440000.0,8.86,9.90%,N/A,N/A,-374950000.0,-4.11,N/A,970200000.0,10.88,36490000.0,4.56,1.21,6.54,145350000.0,N/A,N/A,N/A,May 31 - Jun 6 (Est.)
North West Company Inc.,NWC.TO,28.52,28.71,28.82,28.75,"82,391","140,487","218,275",1.24,4.30%,4.20%,4.67%,83.89%,"Apr 15, 2016","Mar 29, 2016",-0.22,14.23%,-0.94%,33.00,23.42,29.89,28.93,48500000.0,47990000.0,N/A,N/A,695160.0,5.52,N/A,1390000000.0,1580000000.0,20.03,16.10,2.55,0.80,4.06,0.90,10.80,Jan 31,"Oct 31, 2015",3.96%,6.04%,8.93%,20.65%,1750000000.0,36.18,10.80%,N/A,145800000.0,69530000.0,1.43,12.80%,33910000.0,0.70,219040000.0,63.63,2.21,7.10,137540000.0,64379999.99999999,3:1,"Sep 18, 2006",May 2 - May 6 (Est.)
Black Diamond Group Limited,BDI.TO,4.20,4.24,4.21,4.19,"152,377","309,114","197,962",0.81,19.36%,18.70%,5.22%,455.01%,"Apr 15, 2016","Mar 29, 2016",3.23,-73.85%,-0.94%,18.26,3.74,4.36,6.16,41020000.0,36260000.0,N/A,N/A,1110000.0,2.13,N/A,173120000.0,357190000.0,14.11,N/A,N/A,0.54,0.47,1.12,3.69,Dec 31,"Sep 30, 2015",3.93%,12.59%,3.64%,4.26%,319010000.0,7.70,-30.00%,N/A,96880000.0,12540000.0,0.30,-28.80%,2060000.0,0.05,186120000.0,49.70,1.68,9.02,142100000.0,7690000.0,2:1,"Aug 23, 2011",N/A
Ensign Energy Services Inc.,ESI.TO,7.65,7.70,7.80,7.64,"193,865","401,968","269,062",0.48,6.15%,6.20%,3.46%,N/A,"Apr 5, 2016","Mar 22, 2016",1.29,-29.71%,-0.94%,12.50,4.72,6.15,6.85,153060000.0,124060000.0,20.91%,103.40%,1030000.0,1.76,N/A,1180000000.0,1920000000.0,N/A,N/A,-5.14,0.70,0.56,1.13,4.84,Dec 31,"Sep 30, 2015",-5.49%,6.07%,1.78%,-4.47%,1710000000.0,11.21,-44.50%,N/A,397790000.0,-93910000.0,-0.62,N/A,43900000.0,0.29,796880000.0,37.32,1.63,14.02,495220000.0,117550000.0,2:1,"May 29, 2006",May 2 - May 6 (Est.)
"ATCO LTD., CL.I, NV",ACO-X.TO,38.98,39.20,38.91,38.80,"81,154",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Uni-Select Inc.,UNS.TO,56.53,56.99,55.75,55.75,"58,680","79,343","84,525",0.64,1.15%,1.20%,1.79%,N/A,"Apr 19, 2016","Mar 29, 2016",0.06,27.40%,-0.94%,71.66,39.29,56.05,61.02,21300000.0,21240000.0,0.66%,92.00%,48800.0,0.56,N/A,1210000000.0,1360000000.0,N/A,21.26,8.86,0.89,2.75,1.00,15.14,Dec 31,"Dec 31, 2015",-2.97%,5.88%,4.92%,-8.47%,1360000000.0,63.37,-39.30%,N/A,89840000.0,-40220000.0,-1.88,22.70%,103030000.0,4.78,238760000.0,54.64,1.81,20.26,15400000.0,324710000.0,2:1,"May 27, 1999",N/A
Rona Inc.,RON.TO,23.79,23.83,23.79,23.78,"164,586","722,525","133,250",0.16,0.67%,0.50%,1.11%,27.78%,"Mar 25, 2016","Mar 8, 2016",0.92,47.55%,-0.94%,23.83,10.50,23.69,16.79,106950000.0,106600000.0,N/A,N/A,713910.0,2.95,N/A,2550000000.0,2960000000.0,44.13,20.54,2.83,0.60,1.82,0.70,13.25,Dec 27,"Dec 27, 2015",1.61%,3.88%,4.26%,4.26%,4230000000.0000005,39.10,N/A,N/A,223680000.0,58660000.0,0.54,N/A,1130000.0,0.01,417710000.0,26.66,2.01,13.05,77910000.0,-38100000.0,2:1,"Mar 18, 2005",May 10 - May 16 (Est.)
The Jean Coutu Group,PJC) Inc.,20.62,20.75,20.66,20.66,"82,150","299,779","145,499",0.44,2.13%,2.10%,1.79%,36.97%,"Feb 5, 2016","Jan 20, 2016",0.05,-19.31%,-0.94%,26.21,17.02,20.99,19.60,81300000.0,82250000.0,N/A,N/A,2500000.0,13.28,N/A,3820000000.0,3740000000.0,17.84,N/A,N/A,1.40,3.42,1.36,11.55,Feb 28,"Nov 28, 2015",7.87%,10.99%,13.90%,20.54%,2760000000.0,14.79,1.70%,N/A,324200000.0,217400000.0,1.16,3.20%,122100000.0,0.65,0.0,N/A,2.11,6.04,231900000.0,76810000.0,2:1,"Sep 23, 2002",N/A
Bankers Petroleum Ltd.,BNK.TO,1.82,1.84,1.82,1.81,"1,078,023","2,752,950","2,125,420",N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.88,-48.31%,-0.94%,3.75,0.60,1.49,1.43,262000000.0,256459999.99999997,N/A,N/A,7760000.0,1.96,N/A,479460000.0,537240000.0,8.55,N/A,0.19,1.64,0.65,1.85,2.79,Dec 31,"Sep 30, 2015",19.26%,23.48%,3.39%,8.04%,289850000.0,1.11,-54.90%,N/A,192690000.0,55830000.0,0.21,-43.90%,60450000.0,0.23,120060000.0,16.51,3.97,2.78,169050000.0,-66450000.0,1:3,"Jul 30, 2008",May 5 - May 9 (Est.)
Canadian REIT,REF-UN.TO,44.37,44.45,44.25,44.18,"95,105","96,645","89,271",1.80,4.07%,3.10%,3.80%,65.24%,"May 13, 2016","Mar 29, 2016",0.32,-7.03%,-0.94%,50.00,42.00,43.04,45.35,73110000.0,72260000.0,N/A,N/A,1450000.0,11.34,N/A,3240000000.0,5180000000.0,16.27,N/A,N/A,6.81,0.97,10.93,N/A,Dec 31,"Dec 31, 2015",41.88%,68.27%,3.78%,6.05%,474130000.0,6.51,35.70%,N/A,N/A,198590000.0,2.73,N/A,17250000.0,0.24,1960000000.0,58.94,0.18,45.60,190110000.0,152040000.0,N/A,N/A,N/A
Eldorado Gold Corporation,ELD.TO,4.72,4.74,4.59,4.60,"2,444,901","3,440,900","2,772,750",N/A,N/A,0.20%,0.85%,N/A,"Aug 26, 2015","Aug 13, 2015",3.18,-22.33%,-0.94%,6.39,2.67,4.33,4.22,715700000.0,712450000.0,N/A,N/A,21610000.0,5.22,N/A,3390000000.0,3570000000.0,N/A,67.57,-6.94,3.56,0.66,3.87,10.82,Dec 31,"Sep 30, 2015",-31.31%,16.13%,1.29%,-5.26%,923030000.0,1.29,-19.70%,N/A,329930000.0,-289020000.0,-0.40,N/A,404770000.0,0.57,588850000.0,11.19,3.07,6.94,240380000.0,-27490000.0,N/A,N/A,N/A
Goldcorp Inc.,G.TO,21.54,21.56,21.31,21.31,"3,146,719","4,453,380","3,916,990",0.11,0.51%,1.90%,2.06%,N/A,"Mar 28, 2016","Dec 13, 2016",1.87,-9.94%,-0.94%,24.37,13.55,21.12,18.19,830000000.0,824020000.0,0.32%,22.00%,10270000.0,1.93,N/A,17890000000.0,20260000000.0,N/A,61.60,-4.46,4.27,1.04,4.90,13.72,Dec 31,"Sep 30, 2015",-55.17%,-32.24%,-2.91%,-12.63%,4139999999.9999995,5.03,30.90%,N/A,1480000000.0,-2340000000.0,-2.78,N/A,330000000.0,0.40,2700000000.0,15.61,1.45,20.57,1300000000.0,765000000.0,2:1,"May 17, 2002",N/A
Secure Energy Services Inc.,SES.TO,8.66,8.75,8.65,8.48,"251,742","635,910","573,675",0.24,2.77%,2.80%,N/A,N/A,"Apr 15, 2016","Mar 30, 2016",1.97,-48.82%,-0.94%,17.92,5.33,8.41,7.91,157710000.0,130530000.0,N/A,N/A,6980000.0,5.79,N/A,1370000000.0,1470000000.0,N/A,217.50,-0.70,0.73,1.30,0.90,12.22,Dec 31,"Sep 30, 2015",-5.30%,0.86%,0.62%,-10.30%,1630000000.0,12.64,-44.40%,N/A,120100000.0,-86700000.0,-0.67,N/A,2670000.0,0.02,274760000.0,30.08,2.12,6.65,152100000.0,-91830000.0,N/A,N/A,May 5 - May 9 (Est.)
"Gluskin Sheff + Associates, Inc.",GS.TO,16.95,17.07,16.98,16.94,"25,512","98,462","77,150",1.00,5.89%,6.50%,3.53%,66.42%,"Feb 25, 2016","Feb 10, 2016",1.70,-39.29%,-0.94%,28.97,14.81,18.71,19.85,29470000.0,23720000.0,N/A,N/A,894480.0,7.54,N/A,501020000.0,460710000.0,12.16,10.49,2.24,3.26,4.10,2.98,6.50,Jun 30,"Dec 31, 2015",28.21%,41.78%,23.13%,34.33%,154800000.0,5.15,-15.00%,N/A,70830000.0,43670000.0,1.40,-31.10%,44700000.0,1.50,0.0,N/A,2.33,4.14,52670000.0,48680000.0,1:1,"Sep 11, 2013",N/A
MAGNA INTERNATIONAL INC,MG.TO,53.17,53.20,53.59,53.44,"625,748",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ShawCor Ltd.,SCL.TO,30.92,31.13,31.06,30.78,"153,977","170,316","213,675",0.60,1.93%,1.90%,1.23%,37.63%,"Mar 30, 2016","Mar 11, 2016",1.32,-21.51%,-0.94%,42.99,24.43,28.47,28.35,64519999.99999999,64360000.0,16.37%,58.30%,707320.0,3.84,N/A,2000000000.0,2300000000.0,43.25,22.15,1.06,1.08,1.85,1.24,9.00,Dec 31,"Sep 30, 2015",2.52%,9.55%,5.38%,4.55%,1860000000.0,28.76,3.40%,N/A,255300000.0,46690000.0,0.72,578.40%,187430000.0,2.91,483060000.0,44.30,2.00,16.79,243860000.0,143190000.0,3:1,"May 28, 1998",N/A
Resolute Forest Products Inc.,RFP.TO,7.62,8.00,7.20,7.47,"4,308","6,919","6,613",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.58,-63.09%,-0.94%,21.05,5.25,6.92,9.03,89400000.0,82610000.0,29.76%,71.00%,1060000.0,251.53,1.98%,688380000.0,1220000000.0,N/A,N/A,N/A,0.18,0.33,0.34,6.14,Dec 31,"Dec 31, 2015",-7.05%,-1.04%,-0.52%,-12.56%,3640000000.0,39.45,-15.30%,N/A,199000000.0,-257000000.0,-2.78,N/A,58000000.0,0.65,591000000.0,30.39,2.54,21.61,138000000.0,76620000.0,N/A,N/A,N/A
Nevsun Resources Ltd.,NSU.TO,4.25,4.28,4.25,4.22,"163,095","503,565","284,000",0.21,4.89%,4.10%,N/A,141.41%,"Apr 15, 2016","Mar 29, 2016",1.64,-4.49%,-0.94%,5.35,3.27,4.36,3.95,199840000.0,196370000.0,N/A,N/A,365520.0,1.21,N/A,849320000.0,414970000.0,18.72,141.67,-2.87,1.97,1.25,0.97,2.21,Dec 31,"Sep 30, 2015",10.54%,32.72%,8.91%,10.27%,430120000.0,2.15,-52.70%,N/A,187680000.0,45350000.0,0.23,-94.30%,434100000.0,2.17,0.0,N/A,7.92,3.39,198920000.0,141160000.0,N/A,N/A,N/A
Intact Financial Corporation,IFC.TO,92.91,92.95,92.57,92.35,"167,464","251,841","192,338",2.32,2.51%,2.30%,2.49%,40.70%,"Mar 31, 2016","Mar 11, 2016",0.46,-0.69%,-0.94%,96.77,77.49,89.30,88.60,131320000.0,130919999.99999999,N/A,N/A,309200.0,1.78,N/A,12210000000.0,13230000000.0,17.84,13.09,1.22,1.50,2.32,1.63,13.11,Dec 31,"Dec 31, 2015",8.70%,11.57%,2.81%,12.63%,8119999999.999999,61.73,3.20%,N/A,1010000000.0,685000000.0,5.21,-3.40%,141000000.0,1.07,1140000000.0,19.95,0.44,39.83,889000000.0,796880000.0,N/A,N/A,N/A
Barrick Gold Corporation,ABX.TO,20.05,20.12,19.81,19.90,"3,458,419","6,155,610","4,785,360",0.11,0.54%,0.70%,1.88%,N/A,"Mar 15, 2016","Feb 25, 2016",2.31,29.08%,-0.94%,21.32,7.89,18.74,13.31,1170000000.0,1160000000.0,N/A,N/A,20120000.0,2.28,N/A,23430000000.0,30940000000.0,N/A,37.24,1.82,2.56,3.22,3.43,8.66,Dec 31,"Dec 31, 2015",-31.43%,19.27%,3.61%,-27.90%,9030000000.0,7.75,-10.80%,N/A,3570000000.0,-2840000000.0,-2.44,N/A,2460000000.0,2.11,9970000000.0,105.43,2.96,6.16,2790000000.0,711900000.0,N/A,N/A,N/A
CCL Industries Inc.,CCL-B.TO,230.00,230.70,230.00,229.29,"31,796","112,040","74,263",2.00,0.87%,0.50%,1.35%,17.90%,"Mar 31, 2016","Mar 15, 2016",0.60,58.14%,-0.94%,249.38,136.33,231.43,211.28,32439999.999999996,N/A,N/A,N/A,125180.0,0.92,N/A,8029999999.999999,N/A,29.68,N/A,N/A,N/A,N/A,NaN,N/A,Dec 31,"Dec 31, 2015",9.71%,14.62%,8.96%,20.79%,3040000000.0,N/A,25.60%,N/A,608410000.0,295080000.0,7.77,57.60%,405690000.0,N/A,1010000000.0,62.00,1.35,0.00,475260000.0,240840000.0,N/A,N/A,N/A
Husky Energy Inc.,HSE.TO,16.82,16.85,16.72,16.50,"1,093,511","1,843,370","1,330,690",N/A,N/A,5.40%,4.68%,N/A,"Jan 11, 2016","Nov 25, 2015",1.29,-38.64%,-0.94%,28.06,11.34,15.96,16.40,1010000000.0,305860000.0,N/A,N/A,10810000.0,6.47,N/A,16910000000.0,23750000000.0,N/A,44.26,1.09,0.92,1.03,1.30,6.54,Dec 31,"Sep 30, 2015",-24.02%,-33.25%,-10.45%,-23.09%,18250000000.0,18.16,-34.60%,N/A,3630000000.0,-4410000000.0,-4.47,N/A,N/A,N/A,6840000000.0,40.71,0.90,16.19,4050000000.0,2560000000.0,2:1,"Jul 9, 2007",N/A
SunOpta Inc.,SOY.TO,6.78,6.95,6.89,6.88,"30,818","44,618","63,738",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.06,-50.15%,-0.94%,14.91,5.38,6.42,7.77,85440000.0,67030000.0,N/A,N/A,2850000.0,34.07,2.91%,586120000.0,635280000.0,81.67,16.73,N/A,0.49,1.30,0.53,12.46,Jan 3,"Oct 3, 2015",0.48%,2.40%,2.45%,-0.50%,1200000000.0,17.69,-0.60%,N/A,50990000.0,4540000.0,0.08,N/A,98990000.0,1.16,148840000.0,32.08,1.84,5.31,-7990000.0,-11530000.0,N/A,N/A,May 10 - May 16 (Est.)
Dream Unlimited Corp.,DRM.TO,7.65,7.85,7.83,7.91,"21,782","50,533","67,075",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.65,-17.26%,-0.94%,10.71,6.12,7.96,7.37,75270000.0,59940000.0,N/A,N/A,2950000.0,57.46,N/A,601220000.0,1060000000.0,5.26,N/A,N/A,1.84,1.19,3.19,15.67,Dec 31,"Dec 31, 2015",36.57%,19.36%,3.00%,26.55%,333360000.0,4.23,-29.80%,N/A,67860000.0,121900000.0,1.46,-47.80%,29980000.0,0.38,492080000.0,68.55,3.50,6.61,-18830000.0,-67730000.0,N/A,N/A,May 9 - May 13 (Est.)
Wi-Lan Inc.,WIN.TO,2.85,2.86,2.91,2.87,"269,216","747,743","325,862",0.05,1.72%,4.50%,4.21%,158.56%,"Apr 6, 2016","Mar 18, 2016",0.04,-5.94%,-0.94%,3.25,1.30,2.70,2.04,120840000.0,116800000.0,N/A,N/A,204420.0,0.97,N/A,344400000.0,277830000.0,35.62,6.63,0.26,3.42,1.46,2.70,3.76,Dec 31,"Dec 31, 2015",9.76%,34.77%,7.37%,4.12%,102860000.0,0.85,17.70%,N/A,73930000.0,10040000.0,0.08,480.50%,94550000.0,0.78,27980000.0,11.59,3.34,2.00,43530000.0,20150000.0,N/A,N/A,Apr 27 - May 2 (Est.)
Algonquin Power & Utilities Corp.,AQN.TO,10.70,10.73,10.69,10.71,"330,011","1,017,660","570,150",0.51,4.82%,4.80%,4.31%,115.88%,"Apr 15, 2016","Mar 29, 2016",0.40,7.75%,-0.94%,12.01,8.59,10.78,10.59,258899999.99999997,192090000.0,N/A,N/A,3120000.0,2.34,N/A,2770000000.0,4210000000.0,37.06,17.27,3.11,2.50,1.70,4.10,13.36,Dec 31,"Sep 30, 2015",8.04%,16.98%,2.55%,4.59%,1030000000.0,4.18,25.10%,N/A,315420000.0,74700000.0,0.29,N/A,87140000.0,0.36,1730000000.0,82.36,1.20,6.30,264000000.0,-87800000.0,N/A,N/A,May 5 - May 9 (Est.)
Osisko Gold Royalties Ltd.,OR.TO,14.47,14.59,14.44,14.37,"239,397","555,411","415,775",0.16,1.11%,0.10%,N/A,40.63%,"Apr 15, 2016","Mar 29, 2016",N/A,-17.01%,-0.94%,18.64,12.39,13.94,14.02,106160000.0,92620000.0,N/A,N/A,1420000.0,2.51,N/A,1540000000.0,1070000000.0000001,51.38,42.76,6.21,33.90,1.42,26.52,8.63,Dec 31,"Sep 30, 2015",54.59%,47.22%,1.84%,3.79%,40210000.0,0.53,22.50%,N/A,123590000.0,21950000.0,0.28,69.20%,306110000.0,3.24,0.0,N/A,25.39,10.14,24860000.0,67320000.0,N/A,N/A,May 13 - May 17 (Est.)
"Yamana Gold, Inc.",YRI.TO,5.18,5.19,4.90,4.95,"6,674,134","6,564,240","7,769,980",0.07,1.36%,1.40%,2.11%,N/A,"Apr 14, 2016","Mar 29, 2016",2.63,5.49%,-0.94%,5.34,1.89,4.20,3.16,947230000.0,942370000.0,N/A,N/A,10420000.0,1.18,N/A,4920000000.0,6580000000.0,N/A,86.50,15.38,2.54,0.69,3.61,13.00,Dec 31,"Dec 31, 2015",-115.05%,-0.96%,N/A,-31.26%,1820000000.0,1.95,-14.70%,N/A,506500000.0,-2100000000.0,-2.24,N/A,249200000.0,0.26,1930000000.0,28.81,N/A,7.06,N/A,N/A,100:2786,"Aug 19, 2003",N/A
Badger Daylighting Ltd.,BAD.TO,22.93,23.05,22.28,22.14,"229,645","181,886","245,862",0.36,1.62%,1.60%,2.62%,31.79%,"Apr 15, 2016","Mar 29, 2016",1.10,-20.61%,-0.94%,30.59,16.71,23.81,22.91,37100000.0,36180000.0,N/A,N/A,1230000.0,5.00,N/A,851830000.0,945590000.0,24.37,16.40,N/A,2.01,3.35,2.30,8.11,Dec 31,"Sep 30, 2015",8.51%,18.11%,10.77%,15.54%,411910000.0,11.12,-1.50%,N/A,116590000.0,35050000.0,0.94,6.30%,6680000.0,0.18,100430000.0,40.68,2.08,6.66,99360000.0,35200000.0,3:1,"Jan 28, 2014",N/A
Enbridge Inc.,ENB.TO,52.00,52.03,52.14,51.60,"1,326,938","2,651,880","1,457,520",2.12,4.07%,3.70%,2.79%,N/A,"Mar 1, 2016","Feb 11, 2016",0.64,-20.32%,-0.94%,66.14,40.03,49.74,48.54,924250000.0,834280000.0,3.88%,61.80%,43400000.0,15.27,1.02%,48060000000.0,87790000000.0,N/A,21.14,1.85,1.34,3.65,2.60,19.67,Dec 31,"Dec 31, 2015",0.74%,7.22%,1.94%,-0.73%,33790000000.0,39.90,1.30%,N/A,4460000000.0,-37000000.0,-0.04,184.30%,1020000000.0,1.17,43680000000.0,195.55,0.70,14.27,4570000000.0,-3600000000.0,2:1,"May 20, 2011",N/A
Potash Corporation of Saskatchewan Inc.,POT.TO,21.08,21.10,20.86,20.75,"1,436,276","2,704,060","2,039,340",1.28,6.12%,8.90%,3.05%,98.24%,"May 3, 2016","Apr 8, 2016",0.60,-46.96%,-0.94%,41.06,20.03,23.01,24.54,837160000.0,831560000.0,N/A,N/A,35860000.0,11.51,4.54%,17660000000.0,21780000000.0,13.88,18.66,-2.93,3.01,2.08,3.76,9.16,Dec 31,"Dec 31, 2015",21.93%,29.25%,6.02%,14.79%,5790000000.0,6.94,-29.10%,N/A,2380000000.0,1270000000.0,1.52,-50.60%,91000000.0,0.11,4230000000.0000005,50.43,0.89,10.02,2340000000.0,753750000.0,3:1,"Feb 14, 2011",N/A
Chemtrade Logistics Income Fund,CHE-UN.TO,18.12,18.23,18.04,18.00,"44,542","100,519","140,571",1.20,6.65%,6.70%,6.76%,N/A,"Apr 29, 2016","Mar 29, 2016",1.02,-8.19%,-0.94%,22.47,17.95,20.19,20.86,69070000.0,68640000.0,N/A,N/A,828670.0,10.24,N/A,1260000000.0,2120000000.0,N/A,23.35,N/A,0.91,1.41,1.55,9.08,Dec 31,"Dec 31, 2015",-3.49%,6.09%,2.24%,-5.56%,1360000000.0,19.82,N/A,N/A,233320000.0,-47590000.0,-0.69,N/A,7990000.0,0.12,869320000.0,98.70,1.05,12.75,161970000.0,90940000.0,N/A,N/A,N/A
Silver Standard Resources Inc.,SSO.TO,9.28,9.37,9.17,9.12,"375,287","657,290","898,762",0.04,0.10%,N/A,N/A,N/A,N/A,N/A,2.55,39.58%,-0.94%,10.56,5.28,7.84,7.68,80830000.0,80600000.0,N/A,N/A,5550000.0,8.70,9.40%,752490000.0,664730000.0,N/A,77.58,2.74,1.97,1.66,1.77,11.59,Dec 31,"Dec 31, 2015",-33.12%,-6.03%,-1.52%,-24.22%,375320000.0,4.65,-26.20%,N/A,57340000.0,-124300000.0,-1.54,N/A,300050000.0,3.71,212360000.0,47.49,3.51,5.53,74110000.0,56200000.0,N/A,N/A,May 10 - May 16 (Est.)
Veresen Inc.,VSN.TO,8.52,8.57,8.78,8.70,"760,193","1,135,230","1,083,700",1.00,11.38%,11.30%,7.34%,433.16%,"Apr 22, 2016","Mar 29, 2016",1.96,-53.82%,-0.94%,19.40,6.65,8.54,9.22,303100000.0,295480000.0,N/A,N/A,4320000.0,3.39,N/A,2590000000.0,3580000000.0,36.93,24.37,4.87,12.08,1.04,16.66,746.36,Dec 31,"Sep 30, 2015",40.84%,-28.70%,-1.01%,4.72%,215000000.0,0.76,-44.70%,N/A,4800000.0,86600000.0,0.23,115.20%,107700000.0,0.36,1170000000.0,38.70,1.79,8.42,282500000.0,-47490000.0,N/A,N/A,N/A
TransCanada Corporation,TRP.TO,50.24,50.29,50.48,50.30,"1,733,974","2,039,030","1,832,850",2.26,4.48%,4.20%,3.86%,N/A,"Apr 29, 2016","Mar 29, 2016",0.63,-11.06%,-0.94%,58.12,40.58,49.39,46.20,798940000.0,701470000.0,N/A,N/A,34080000.0,15.43,N/A,40150000000.0,69660000000.0,N/A,17.82,3.38,3.14,2.54,6.16,12.77,Dec 31,"Dec 31, 2015",-10.14%,32.64%,3.75%,-5.88%,11300000000.0,15.95,9.00%,N/A,5450000000.0,-1240000000.0,-1.75,N/A,850000000.0,1.21,35230000000.0,194.05,0.54,19.84,4120000000.0,-1420000000.0,N/A,N/A,N/A
Just Energy Group Inc.,JE.TO,7.81,7.84,8.01,8.00,"170,474","344,392","169,725",0.50,6.24%,6.20%,10.93%,N/A,"Mar 31, 2016","Mar 11, 2016",1.02,28.20%,-0.94%,10.22,5.98,7.92,8.81,147180000.0,97580000.0,N/A,N/A,6060000.0,21.25,N/A,1150000000.0,1750000000.0,N/A,15.96,N/A,0.28,N/A,0.41,8.71,Mar 31,"Dec 31, 2015",-0.59%,4.25%,9.07%,N/A,4240000000.0,28.90,6.60%,N/A,201440000.0,-26450000.0,-0.17,N/A,90820000.0,0.62,695020000.0,N/A,0.90,-4.58,166450000.0,137340000.0,2:1,"Jan 28, 2004",May 12 - May 16 (Est.)
Encana Corporation,ECA.TO,8.56,8.57,8.83,8.62,"4,629,632","7,531,690","6,348,710",0.30,3.37%,3.30%,3.39%,N/A,"Mar 31, 2016","Mar 11, 2016",3.14,-48.22%,-0.94%,17.75,4.14,7.54,8.05,849800000.0,849010000.0,N/A,N/A,13600000.0,1.14,N/A,7280000000.0,12730000000.0,N/A,95.22,0.41,1.70,1.22,2.88,7.46,Dec 31,"Dec 31, 2015",-116.80%,3.94%,0.54%,-65.17%,4420000000.0,5.38,-54.30%,N/A,1710000000.0,-5160000000.0,-6.28,N/A,271000000.0,0.32,5720000000.0,92.69,1.21,7.26,1680000000.0,-920000000.0,2:1,"May 10, 2005",May 10 - May 16 (Est.)
Pason Systems Inc.,PSI.TO,17.06,17.19,17.36,17.17,"66,361","204,873","125,238",0.68,3.92%,3.90%,2.77%,N/A,"Mar 30, 2016","Mar 14, 2016",0.98,-23.64%,-0.94%,23.10,14.46,16.64,18.19,84070000.0,71560000.0,N/A,N/A,2780000.0,11.14,N/A,1440000000.0,1240000000.0,N/A,85.45,-80.37,5.12,2.98,4.35,13.49,Dec 31,"Dec 31, 2015",-5.12%,3.71%,1.20%,-3.00%,285150000.0,3.32,-56.70%,N/A,91960000.0,-14610000.0,-0.17,N/A,195850000.0,2.33,0.0,N/A,12.85,5.82,130080000.00000001,63720000.0,2:1,"May 26, 2006",N/A
MAG Silver Corp.,MAG.TO,13.75,13.94,13.10,13.12,"179,875","246,352","189,350",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.10,97.73%,-0.94%,13.98,6.90,11.87,10.22,79790000.0,52070000.0,14.78%,45.70%,568330.0,1.24,N/A,1110000000.0,888100000.0,N/A,N/A,-2.32,N/A,5.60,NaN,-135.31,Dec 31,"Sep 30, 2015",N/A,N/A,-4.72%,-9.51%,N/A,N/A,N/A,N/A,-6560000.0,-15960000.0,-0.23,N/A,77590000.0,1.12,0.0,N/A,135.68,2.34,-3760000.0,40690.0,N/A,N/A,May 12 - May 16 (Est.)
